154,146,122
4099,4125,4107
146,174,172
154,174,146
19,40,26
204,205,172
174,204,172
4139,4150,4147
4135,4123,4142
4070,4035,4060
3983,3942,3971
4054,4084,4053
2807,2727,2722
51,36,26
40,51,26
75,63,49
132,154,122
98,132,122
132,168,154
168,132,148
4145,4129,4147
4129,4139,4147
4114,4123,4135
4099,4114,4125
4114,4135,4125
2341,2420,2339
2218,2257,2177
3598,3622,3652
3759,3732,3783
3810,3759,3783
4054,4082,4084
4082,4099,4107
4084,4082,4107
4057,4037,4021
4114,4101,4123
2665,2634,2722
2727,2665,2722
2813,2807,2875
2813,2727,2807
3101,3021,3024
1616,1660,1698
1648,1616,1698
398,395,373
8,23,11
12,4,2
1660,1579,1625
1536,1579,1616
1579,1660,1616
36,61,49
51,61,36
61,75,49
61,51,76
89,61,76
75,61,89
53,64,40
64,51,40
51,64,76
89,103,120
103,89,76
187,174,154
168,187,154
204,187,220
187,204,174
107,132,98
205,233,241
204,233,205
2264,2257,2218
2213,2264,2218
2264,2341,2339
2257,2264,2339
4124,4102,4118
4102,4124,4104
4124,4128,4104
4119,4129,4106
4129,4119,4139
4150,4134,4152
4139,4134,4150
4119,4134,4139
4134,4119,4110
3708,3732,3759
3949,3972,3989
3960,3942,3983
4015,4025,3987
3978,4015,3987
3960,3978,3937
2066,2103,2144
2103,2066,2026
3817,3843,3792
3911,3867,3890
3867,3911,3888
3843,3867,3888
3867,3843,3817
4102,4085,4072
4085,4102,4104
3573,3604,3545
3632,3604,3659
3687,3632,3659
3542,3570,3510
3570,3542,3600
4068,4082,4054
4082,4068,4099
4042,4057,4021
4042,4075,4057
4075,4042,4063
4037,4071,4055
4071,4037,4057
4101,4112,4123
4129,4112,4106
2634,2588,2546
2665,2588,2634
2637,2665,2727
2637,2588,2665
2949,2897,2875
2897,2813,2875
2813,2769,2727
3103,3101,3165
3103,3021,3101
2591,2681,2633
2298,2335,2255
2335,2298,2376
2335,2297,2255
2297,2335,2378
1987,1988,1938
2063,1988,1987
34,57,47
34,14,20
21,7,9
58,38,47
86,62,77
105,86,77
105,77,93
123,105,93
105,123,133
116,105,133
105,116,86
1749,1802,1828
1802,1869,1828
1660,1741,1698
292,299,267
1648,1565,1616
1536,1565,1488
1565,1536,1616
774,736,768
813,774,768
736,747,702
747,774,793
774,747,736
1169,1136,1106
1163,1132,1197
1132,1167,1197
881,909,870
923,940,887
1030,980,1004
1820,1773,1860
1384,1310,1348
1137,1169,1106
1270,1306,1236
1525,1449,1489
1588,1628,1672
1641,1588,1672
1591,1630,1548
1020,1045,1077
1111,1165,1103
1165,1137,1103
1047,1111,1103
1111,1047,1077
1047,1020,1077
1020,1047,995
994,1021,1044
1273,1308,1238
1171,1205,1138
1076,1105,1139
2236,2277,2197
2315,2277,2236
2317,2277,2357
2277,2315,2357
2238,2278,2318
23,30,11
30,19,11
30,40,19
30,53,40
117,90,100
10,2,0
10,12,2
12,10,25
4,17,6
12,17,4
112,123,93
149,112,136
112,149,123
245,211,243
117,147,134
79,107,98
132,121,148
107,121,132
305,289,274
289,261,274
390,421,402
422,441,456
361,346,331
511,519,547
2036,2109,2070
2109,2036,2080
4122,4138,4141
3918,3871,3898
3796,3746,3770
3746,3719,3770
3692,3719,3666
4140,4151,4152
4134,4140,4152
4146,4148,4136
4148,4137,4136
4137,4148,4149
3622,3676,3652
3676,3704,3652
3704,3676,3729
3810,3787,3759
3712,3687,3659
3687,3712,3741
3829,3805,3780
3879,3854,3901
3829,3854,3805
3805,3756,3780
3704,3756,3732
3732,3756,3783
3756,3805,3783
3780,3756,3729
3756,3704,3729
3506,3536,3564
3536,3506,3477
3444,3410,3475
3444,3477,3412
3376,3444,3412
3444,3376,3410
2911,2994,2953
3498,3558,3532
4050,4035,4070
4069,4089,4097
4089,4069,4058
4062,4094,4072
4094,4111,4118
4094,4102,4072
4102,4094,4118
3972,4010,3989
3895,3915,3872
3915,3895,3937
4025,4002,3987
3940,3958,3987
3958,3978,3987
3915,3958,3940
3978,3958,3937
3958,3915,3937
4000,3960,3983
4000,3978,3960
3978,4000,4015
4032,4051,4060
4035,4032,4060
4032,4035,3997
3999,4032,3997
1040,1015,1068
1015,1039,1068
1126,1189,1158
1189,1126,1156
1126,1093,1156
1093,1126,1066
1219,1188,1253
2213,2104,2144
2104,2066,2144
2854,2860,2809
2860,2812,2809
2511,2592,2503
2503,2592,2558
2521,2462,2503
2521,2503,2558
2621,2654,2567
2621,2521,2558
2521,2621,2567
3003,2926,2963
2926,2886,2963
3123,3160,3081
2678,2718,2762
3361,3325,3395
2817,2774,2730
2774,2685,2730
3934,3911,3890
3911,3934,3952
3999,3963,3981
3963,3999,3997
3955,3963,3997
3967,3986,3947
3986,3972,3947
4010,3986,4020
3986,4010,3972
3992,3967,3952
3911,3929,3888
3929,3967,3947
3967,3929,3952
3929,3911,3952
3864,3844,3810
3844,3867,3817
3867,3844,3890
3844,3864,3890
3787,3844,3817
3844,3787,3810
3714,3739,3688
3764,3739,3714
4085,4056,4072
3925,3905,3949
3966,3949,3989
3966,3925,3949
3905,3930,3949
3972,3930,3947
3930,3972,3949
3884,3859,3903
3743,3717,3691
3717,3664,3691
3717,3767,3742
3767,3717,3743
3768,3741,3792
3716,3687,3741
3768,3716,3741
3716,3768,3743
3716,3743,3691
2968,3051,3008
3051,2968,3010
3125,3204,3163
3050,3127,3086
3508,3567,3534
3347,3380,3413
2671,2580,2625
3324,3252,3287
3358,3324,3287
3209,3172,3128
3172,3209,3250
3663,3715,3689
2785,2830,2744
3155,3117,3076
3345,3376,3412
3728,3703,3755
3599,3624,3567
3624,3599,3654
3542,3572,3600
3218,3180,3254
4087,4101,4114
4087,4114,4099
4068,4087,4099
4087,4068,4055
4071,4087,4055
4087,4071,4101
4093,4075,4063
4119,4093,4110
4093,4119,4106
4075,4093,4106
4003,4042,4021
4112,4131,4123
4131,4145,4142
4123,4131,4142
4131,4129,4145
4131,4112,4129
4088,4071,4057
4075,4088,4057
4071,4088,4101
4088,4112,4101
4088,4075,4106
4112,4088,4106
2941,2897,2949
2941,2949,3024
3021,2941,3024
2769,2811,2724
2852,2811,2896
3103,3028,3021
2811,2767,2724
2767,2811,2852
2683,2769,2724
2683,2637,2727
2769,2683,2727
2298,2332,2376
2636,2681,2591
2681,2636,2723
2549,2458,2501
2549,2636,2591
2593,2549,2501
2636,2549,2593
2335,2416,2378
2416,2458,2378
2416,2335,2376
2458,2416,2501
2458,2415,2378
2334,2297,2378
2334,2415,2375
2415,2334,2378
2334,2254,2297
3333,3326,3266
2092,2013,2053
1973,2013,1934
2013,1973,2053
2058,1983,2018
2212,2172,2249
3083,3115,3037
2338,2295,2373
2060,1984,2021
2099,2060,2021
1988,2061,2021
2061,2099,2021
2061,1988,2063
59,35,48
59,46,35
46,59,70
24,21,9
21,24,38
14,24,9
34,24,14
38,24,47
24,34,47
18,5,7
21,18,7
152,118,139
131,152,163
152,131,118
101,131,113
131,101,118
74,88,102
1780,1749,1828
1853,1780,1828
1780,1853,1792
1943,1988,2021
1988,1943,1938
1866,1869,1802
1943,1866,1938
1866,1943,1869
299,271,267
271,243,267
271,245,243
317,292,316
317,299,292
345,347,316
347,317,316
1586,1565,1648
372,355,338
355,372,386
594,634,637
940,904,887
801,813,768
851,801,835
801,851,813
843,881,870
774,820,793
820,774,813
820,843,793
777,747,793
1231,1163,1197
1231,1194,1163
1201,1169,1236
1201,1136,1169
1136,1201,1167
1132,1102,1167
1102,1136,1167
990,1040,1014
1040,990,1015
1011,963,985
1039,1013,1066
909,890,870
1153,1089,1121
1035,1011,985
1008,1035,985
1035,1008,1062
1011,1035,1064
1091,1035,1062
1035,1091,1064
1224,1186,1153
1154,1186,1220
923,902,947
902,860,891
860,878,835
878,851,835
902,878,860
878,902,923
878,923,887
851,878,887
1090,1159,1121
1159,1090,1128
1259,1226,1296
1226,1262,1296
980,955,1004
1090,1060,1128
1060,1090,1030
1060,1030,1004
1774,1737,1822
1762,1671,1725
1671,1630,1725
1530,1469,1442
1469,1389,1442
1389,1469,1428
1591,1563,1652
1563,1469,1530
1737,1689,1652
1630,1689,1725
1689,1774,1725
1774,1689,1737
1689,1591,1652
1689,1630,1591
1963,1888,1922
2074,2110,2040
2110,2077,2040
2703,2661,2613
2788,2703,2745
2661,2570,2613
1973,2015,2053
2015,2095,2053
2132,2092,2053
2095,2132,2053
2092,2132,2171
1732,1820,1785
1732,1773,1820
1384,1426,1462
1426,1505,1462
1387,1426,1348
1426,1384,1348
463,498,478
425,398,424
398,425,395
1079,1137,1106
1137,1079,1103
1169,1202,1236
1137,1202,1169
1202,1270,1236
1270,1202,1229
1202,1165,1229
1165,1202,1137
1268,1231,1197
1449,1410,1489
1376,1410,1337
1410,1373,1337
1373,1410,1449
1341,1305,1379
1341,1268,1305
1609,1571,1650
1571,1610,1650
1610,1571,1529
1571,1492,1529
1416,1455,1379
1492,1455,1529
1455,1493,1529
1493,1455,1416
1305,1343,1379
1343,1416,1379
1525,1487,1449
1406,1372,1447
1721,1641,1672
1883,1845,1804
1888,1845,1922
1845,1883,1922
594,597,553
597,594,637
1047,1017,995
995,1017,970
1048,1079,1106
1079,1048,1028
